02:56:21.911 INF Connecting to orderer. addrStr=127.0.0.1:10011 peerId=1
02:56:21.911 INF Connecting to orderer. addrStr=127.0.0.1:10022 peerId=2
02:56:21.912 INF Connecting to orderer. addrStr=127.0.0.1:10033 peerId=3
02:56:21.918 INF Connected to orderer. addrStr=127.0.0.1:10022 id=2
02:56:21.918 INF Connected to orderer. addrStr=127.0.0.1:10033 id=3
02:56:21.918 INF Connected to orderer. addrStr=127.0.0.1:10011 id=1
02:56:21.933 INF Connected to orderers.
02:56:21.934 INF Setting up client timeout. clientRunTime=30000
02:56:21.935 INF Starting to submit requests. numRequests=15360
02:56:21.935 INF Updating bucket assignment. epoch=0
02:56:21.936 DBG New bucket assignment. buckets=[2,4,6,10,14,16,18,22,26,28,30,34,38,40,42,46,50,52,54,58,62] orderer=2
02:56:21.936 DBG New bucket assignment. buckets=[3,7,8,11,15,19,20,23,27,31,32,35,39,43,44,47,51,55,56,59,63] orderer=3
02:56:21.937 DBG New bucket assignment. buckets=[0,1,5,9,12,13,17,21,24,25,29,33,36,37,41,45,48,49,53,57,60,61] orderer=1
02:56:21.937 INF Resubmitted Requests. epoch=0 n=0
02:56:21.937 DBG Submitted request. clSeqNr=0
02:56:21.939 DBG Submitted request. clSeqNr=1
02:56:21.944 DBG Submitted request. clSeqNr=2
02:56:21.947 DBG Submitted request. clSeqNr=3
02:56:21.951 DBG Submitted request. clSeqNr=4
02:56:21.956 DBG Submitted request. clSeqNr=5
02:56:21.959 DBG Submitted request. clSeqNr=6
02:56:21.963 DBG Submitted request. clSeqNr=7
02:56:21.966 DBG Submitted request. clSeqNr=8
02:56:21.971 DBG Submitted request. clSeqNr=9
02:56:21.975 DBG Submitted request. clSeqNr=10
02:56:21.979 DBG Submitted request. clSeqNr=11
02:56:21.982 DBG Submitted request. clSeqNr=12
02:56:21.986 DBG Submitted request. clSeqNr=13
02:56:21.991 DBG Submitted request. clSeqNr=14
02:56:21.994 DBG Submitted request. clSeqNr=15
02:56:21.998 DBG Submitted request. clSeqNr=16
02:56:22.002 DBG Submitted request. clSeqNr=17
02:56:22.006 DBG Submitted request. clSeqNr=18
02:56:22.010 DBG Submitted request. clSeqNr=19
02:56:22.014 DBG Submitted request. clSeqNr=20
02:56:22.017 DBG Submitted request. clSeqNr=21
02:56:22.022 DBG Submitted request. clSeqNr=22
02:56:22.025 DBG Submitted request. clSeqNr=23
02:56:22.029 DBG Submitted request. clSeqNr=24
02:56:22.033 DBG Submitted request. clSeqNr=25
02:56:22.037 DBG Submitted request. clSeqNr=26
02:56:22.041 DBG Submitted request. clSeqNr=27
02:56:22.044 DBG Submitted request. clSeqNr=28
02:56:22.049 DBG Submitted request. clSeqNr=29
02:56:22.053 DBG Submitted request. clSeqNr=30
02:56:22.056 DBG Submitted request. clSeqNr=31
02:56:22.060 DBG Submitted request. clSeqNr=32
02:56:22.065 DBG Submitted request. clSeqNr=33
02:56:22.068 DBG Submitted request. clSeqNr=34
02:56:22.072 DBG Submitted request. clSeqNr=35
02:56:22.077 DBG Submitted request. clSeqNr=36
02:56:22.080 DBG Submitted request. clSeqNr=37
02:56:22.084 DBG Submitted request. clSeqNr=38
02:56:22.088 DBG Submitted request. clSeqNr=39
02:56:22.092 DBG Submitted request. clSeqNr=40
02:56:22.096 DBG Submitted request. clSeqNr=41
02:56:22.099 DBG Submitted request. clSeqNr=42
02:56:22.104 DBG Submitted request. clSeqNr=43
02:56:22.107 DBG Submitted request. clSeqNr=44
02:56:22.111 DBG Submitted request. clSeqNr=45
02:56:22.116 DBG Submitted request. clSeqNr=46
02:56:22.119 DBG Submitted request. clSeqNr=47
02:56:22.123 DBG Submitted request. clSeqNr=48
02:56:22.127 DBG Submitted request. clSeqNr=49
02:56:22.131 DBG Submitted request. clSeqNr=50
02:56:22.135 DBG Submitted request. clSeqNr=51
